id,channelName,likes,url,viewCount,date,numberOfSubscribers,title,commentsCount
kuecIPOMCg8,Lenskart,336,https://www.youtube.com/shorts/kuecIPOMCg8,12056,2024-03-25T00:00:00.000Z,,Types Of People On #Holi ft. Lenskart Sunnies | Happy Holi | #Shorts | #Lenskart,2
wy_VV7noQs4,Lenskart,208,https://www.youtube.com/shorts/wy_VV7noQs4,11551,2024-02-17T00:00:00.000Z,,Buy the Lenskart Glasses at Buy 1 Get 1 Offer | MUST WATCH | #Shorts | #Lenskart,3
fTW7ClmdAko,Lenskart,869,https://www.youtube.com/shorts/fTW7ClmdAko,12218,2024-08-21T00:00:00.000Z,,What's Your Screen Time????? | #Shorts | #Lenskart,2
oAjsPExnkRs,Lenskart,436,https://www.youtube.com/shorts/oAjsPExnkRs,12855,2023-09-02T00:00:00.000Z,,3 Yoga Exercises For Healthy Eyes | #Shorts | #Lenskart,2
JIVGq3Jk9Fs,Lenskart,266,https://www.youtube.com/shorts/JIVGq3Jk9Fs,12127,2024-01-28T00:00:00.000Z,,FREE Services at the Lenskart Store | #Shorts | #Lenskart,1
4eilgmE4Li0,Lenskart,185,https://www.youtube.com/shorts/4eilgmE4Li0,12039,2024-01-30T00:00:00.000Z,,#SPOTTED : Tanmay Bhatt Wearing Hustlr on Koffee With Karan | #Shorts | #Lenskart,3
5Jtn8qcjRTI,Lenskart,275,https://www.youtube.com/shorts/5Jtn8qcjRTI,12433,2024-02-26T00:00:00.000Z,,What Is The Hot Air Balloon Eye Test | #Shorts | #Lenskart,9
n-3Ix4qCv1Q,Lenskart,333,https://www.youtube.com/shorts/n-3Ix4qCv1Q,13172,2024-03-02T00:00:00.000Z,,You SHOULD NOT MISS This | The Big Buyback Festival | #Shorts | #Lenskart,4
lFrtK3FQqL8,Lenskart,210,https://www.youtube.com/shorts/lFrtK3FQqL8,12456,2024-08-24T00:00:00.000Z,,A Day in the Life of a College Student ft. Lenskart Screen Glasses | #Shorts,0
S4zq1zBieSo,Lenskart,506,https://www.youtube.com/shorts/S4zq1zBieSo,12853,2024-04-14T00:00:00.000Z,,Types of T20 Cricket Fans | T20 Fan Mania | #Shorts | #Lenskart,5
#NAME?,Lenskart,428,https://www.youtube.com/shorts/-nnPU3-RMD8,11303,2024-07-26T00:00:00.000Z,,Buy Progressive Lenses on SALE | #Shorts | #Lenskart,1
7K29YKs-vHc,Shark Tank India,1700,https://www.youtube.com/watch?v=7K29YKs-vHc,135040,2024-07-29T00:00:00.000Z,3360000,Isak Perfume ?? Owner ?? ????? Peyush ?? ???? ?? ????? 'Welcome To Lenskart' | Individual Shark Wins,107
4ML6QA-LvWw,Lenskart,384,https://www.youtube.com/shorts/4ML6QA-LvWw,13816,2024-05-28T00:00:00.000Z,,3 Must Have College Essentials | #Shorts | #Lenskart,1
_gyl05VZ1mc,Lenskart,260,https://www.youtube.com/shorts/_gyl05VZ1mc,14344,2024-02-11T00:00:00.000Z,,3 Eye Glasses LIFE HACKS and Glasses Tips | #Shorts | #Lenskart,1
UckMOpdSwZE,Lenskart,728,https://www.youtube.com/shorts/UckMOpdSwZE,13816,2024-03-04T00:00:00.000Z,,Get Your Glasses Delivered Within 30 Minutes | #Shorts | #Lenskart,12
VWZxKrqElIU,Lenskart,262,https://www.youtube.com/shorts/VWZxKrqElIU,14935,2024-02-18T00:00:00.000Z,,3 SOLUTIONS For Headache From New Glasses | #Shorts | #Lenskart,1
XOm9cRLFNUw,Lenskart,572000,https://www.youtube.com/shorts/XOm9cRLFNUw,15544496,2023-11-20T00:00:00.000Z,,Peyush Bansal Talks About The Eyewear Innovation At Lenskart | #Shorts | #Lenskart,5145
TpGL_nmw3d0,Lenskart,387,https://www.youtube.com/shorts/TpGL_nmw3d0,13556,2023-11-12T00:00:00.000Z,,Things You Need To Know About Lenskart Hustlr Eyeglasses | #Shorts | #Lenskart,10
WJq95WwgONw,Lenskart,355,https://www.youtube.com/shorts/WJq95WwgONw,14731,2024-02-20T00:00:00.000Z,,What Are The Benefits of Using Computer Glasses | #Shorts | #Lenskart,4
l4e-t4jiL2Q,GrowthX,3000,https://www.youtube.com/watch?v=l4e-t4jiL2Q,217181,2024-02-15T00:00:00.000Z,358000,Lenskart vs Titan: How Lenskart Defeated a TATA Brand | GrowthX Wireframe,163
Po0CZrA1qCQ,Lenskart Singapore,3300,https://www.youtube.com/watch?v=Po0CZrA1qCQ,265781,2024-03-26T00:00:00.000Z,385,Lenskart - Make the Switch,0
fvxi595UYTA,Lenskart,392,https://www.youtube.com/shorts/fvxi595UYTA,9580,2024-08-05T00:00:00.000Z,,How To Take Care of Your Glasses | TIPS & TRICKS | #Shorts | #Lenskart,3
BfpFoIhvmTI,Lenskart,212,https://www.youtube.com/shorts/BfpFoIhvmTI,10196,2024-07-14T00:00:00.000Z,,HOW USEFUL are the Screen Glasses | Lenskart BLU | #Shorts | #Lenskart,1
veCFsTncy7c,Lenskart,234,https://www.youtube.com/shorts/veCFsTncy7c,9792,2023-12-27T00:00:00.000Z,,Buy 1 Get 1 FREE On Lenskart Sunglasses | #Shorts | #Lenskart,2
Zs9RAHWi8aM,Lenskart,207,https://www.youtube.com/shorts/Zs9RAHWi8aM,9882,2024-04-13T00:00:00.000Z,,Kids Friendly Glasses | Flexible & Bendable Eyeglasses | #Shorts | #Lenskart,3
r_hbBScBk_s,Lenskart,189,https://www.youtube.com/shorts/r_hbBScBk_s,10208,2023-09-25T00:00:00.000Z,,Grab The Best Offers At Your Nearest Lenskart Store | #Shorts | #Lenskart,3
3MGIk-N-MwQ,Lenskart,329,https://www.youtube.com/shorts/3MGIk-N-MwQ,10180,2024-03-13T00:00:00.000Z,,What To Do With Your Old Glasses | #Shorts | #Lenskart,1
iQXr_mln95U,Lenskart,213,https://www.youtube.com/shorts/iQXr_mln95U,9740,2024-01-29T00:00:00.000Z,,Things You Need To Know About Lenskart Hustlr Eyeglasses | #Shorts | #Lenskart,5
J5fCMaEejy8,Lenskart,236,https://www.youtube.com/shorts/J5fCMaEejy8,9537,2023-12-07T00:00:00.000Z,,Shark Tank India Season 3 Coming Soon | Peyush Bansal | #Lenskart,2
CGDFbdQCUis,Lenskart,145,https://www.youtube.com/shorts/CGDFbdQCUis,9913,2023-12-14T00:00:00.000Z,,Why You Need Powered Sunglasses | #Shorts | #Lenskart,0
YBpeagaLF48,Lenskart,147,https://www.youtube.com/shorts/YBpeagaLF48,10415,2023-12-14T00:00:00.000Z,,Lenskart Gold Rush SALE IS BACK | #Shorts | #Lenskart,1
pLo59SzUyiI,Lenskart,266,https://www.youtube.com/shorts/pLo59SzUyiI,10592,2024-02-02T00:00:00.000Z,,Should You Buy Polarised Sunglasses? | #Shorts | #Lenskart,3
dcZO6BV4fIo,Lenskart,174,https://www.youtube.com/shorts/dcZO6BV4fIo,10767,2024-01-28T00:00:00.000Z,,Choosing the Right Eyeglasses According To Your Hair Color | #Shorts | #Lenskart,0
xF1arptgS8Y,Lenskart,327,https://www.youtube.com/shorts/xF1arptgS8Y,11224,2023-09-01T00:00:00.000Z,,Must Have Colored Contact Lenses For Every Bride To Be | #Shorts | #Lenskart,5
p_WeBO26q3Y,Lenskart,140,https://www.youtube.com/shorts/p_WeBO26q3Y,10712,2024-04-03T00:00:00.000Z,,Why Progressive Lenses Are Gaining Popularity | #Shorts | #Lenskart,5
fixAx7c_bxI,Lenskart,214,https://www.youtube.com/shorts/fixAx7c_bxI,10774,2024-05-09T00:00:00.000Z,,Things You'll Relate To If You Wear Eyeglasses | Lenskart,3
23DLj7LAa8g,Lenskart,258,https://www.youtube.com/shorts/23DLj7LAa8g,11002,2023-11-15T00:00:00.000Z,,Types Of Lenses | #Shorts | #Lenskart,0
v0HN6SptvSM,Lenskart,112,https://www.youtube.com/shorts/v0HN6SptvSM,10223,2024-02-10T00:00:00.000Z,,Most FAMOUS GAME Of The Year 2024 | #Shorts | #Lenskart,2
Q2yABJMED9A,Shark Tank India,10000,https://www.youtube.com/watch?v=Q2yABJMED9A,541722,2024-02-22T00:00:00.000Z,3360000,Shark Amit ?? ‘Intense Focus’ ?? ???? Lenskart ?? Compare | Shark Tank India S3 | Full Pitch,371
zRZIVLjNHzY,Lenskart,713,https://www.youtube.com/watch?v=zRZIVLjNHzY,342199,2024-06-08T00:00:00.000Z,272000,No More Tired Eyes | Lenskart BLU Screen Glasses,23
FgD2RhBc2B0,Amma Kuthuru,161,https://www.youtube.com/watch?v=FgD2RhBc2B0,10863,2023-10-27T00:00:00.000Z,926,Lenskart Glasses unboxing & review | ?????? ?? | Free eye test | Aqualens | Sunglasses | Eyeglasses,18
AV8LYlSnzzY,Lenskart,139,https://www.youtube.com/shorts/AV8LYlSnzzY,11048,2023-12-16T00:00:00.000Z,,Why You Should Try Out The New Hustlr Sunglasses | #Shorts | #Lenskart,1
VM7GGk_4SXk,Lenskart,196,https://www.youtube.com/shorts/VM7GGk_4SXk,7430,2024-06-01T00:00:00.000Z,,These Glasses are NOT EXPENSIVE AT ALL | #Shorts | #Lenskart,3
vupGRIJSzuI,Lenskart,109,https://www.youtube.com/shorts/vupGRIJSzuI,7379,2024-04-25T00:00:00.000Z,,Hustlr Glasses SUPER FAST DELIVERY | #Shorts | #Lenskart,1
3UzaQBaY2Ug,Lenskart,108,https://www.youtube.com/shorts/3UzaQBaY2Ug,7064,2024-02-03T00:00:00.000Z,,Galentines Day ft. Lenskart Sunnies | #Shorts | #Lenskart,3
Unk9MYiw_xc,Lenskart,173,https://www.youtube.com/shorts/Unk9MYiw_xc,7414,2024-03-28T00:00:00.000Z,,You SHOULD NOT MISS This Opportunity | #Shorts | #Lenskart,0
Wg_oIeyA0Cg,Lenskart,211,https://www.youtube.com/shorts/Wg_oIeyA0Cg,7603,2024-08-20T00:00:00.000Z,,Eyewear Styles You Will NOT Find Anywhere Else | #Shorts | #Lenskart,7
ce2fSyIjxy4,Lenskart,184,https://www.youtube.com/shorts/ce2fSyIjxy4,7307,2024-01-16T00:00:00.000Z,,#SPOTTED : Avneet Kaur Wearing Lenskart Hustlr Glasses | #Shorts | #Lenskart,4
